cusno,last_purchase,first_purchase,frequency,monetary,margin,recency_days,cusnm,area,kind,R_score,F_score,M_score,RFM_sum,segment
CUS_00308,2023-10-10,2023-08-14,2,31820.0,15536.0,914.0,[已隱蔽],,一般,3,4,5,12,Others
CUS_00309,2024-10-29,2024-01-28,4,13800.0,7760.0,529.0,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00310,2020-12-03,2020-12-03,1,2450.0,1548.0,1955.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00311,2022-11-17,2022-11-17,1,24500.0,10000.0,1241.0,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00312,2025-02-06,2025-02-06,1,3000.0,2100.0,429.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00313,2021-03-13,2021-03-13,1,7000.0,4000.0,1855.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00314,2022-10-03,2022-10-03,1,2600.0,1545.0,1286.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00315,2021-03-05,2021-03-05,1,800.0,630.0,1863.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00316,2022-03-07,2022-03-07,1,4290.0,2525.0,1496.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00317,2024-01-05,2024-01-05,1,11750.0,6780.0,827.0,[已隱蔽],,一般,3,2,4,9,Others
CUS_00318,2024-10-09,2024-10-09,1,6000.0,4000.0,549.0,[已隱蔽],,一般,4,2,3,9,New 新客
CUS_00319,2021-02-09,2021-02-09,1,12500.0,1000.0,1887.0,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00320,2025-03-29,2025-03-29,1,3950.0,2270.0,378.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00321,2023-12-29,2022-12-10,3,26000.0,14200.0,834.0,[已隱蔽],,一般,3,4,5,12,Others
CUS_00322,2025-01-04,2020-10-16,3,9000.0,6350.0,462.0,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00323,2022-01-08,2022-01-08,1,8000.0,5300.0,1554.0,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00325,2024-08-21,2024-08-21,1,1500.0,1250.0,598.0,[已隱蔽],,一般,4,2,1,7,New 新客
CUS_00327,2022-01-19,2022-01-19,1,1500.0,1010.0,1543.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00328,2022-03-29,2022-03-29,1,7500.0,1900.0,1474.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00329,2021-10-27,2021-10-27,1,4000.0,2800.0,1627.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00330,2023-11-22,2023-11-22,1,8000.0,4000.0,871.0,[已隱蔽],,一般,3,2,4,9,Others
CUS_00331,2023-06-17,2022-02-21,4,10900.0,6614.0,1029.0,[已隱蔽],,一般,3,4,4,11,Others
