cusno,cusnm,revenue,margin,orders,margin_rate
CUS_00244,[已隱蔽],5000.0,3450.0,1,0.69
CUS_00669,[已隱蔽],6650.0,3412.0,2,0.5130827067669173
CUS_00075,[已隱蔽],4250.0,3410.0,1,0.8023529411764706
CUS_00475,[已隱蔽],4000.0,3390.0,1,0.8475
CUS_00457,[已隱蔽],5500.0,3380.0,1,0.6145454545454545
CUS_00265,[已隱蔽],5850.0,3365.0,3,0.5752136752136752
CUS_00346,[已隱蔽],5500.0,3360.0,1,0.610909090909091
CUS_00513,[已隱蔽],7700.0,3340.0,1,0.43376623376623374
CUS_00435,[已隱蔽],4565.0,3337.0,1,0.7309967141292443
CUS_00088,[已隱蔽],5675.0,3335.0,1,0.5876651982378854
CUS_00160,[已隱蔽],6800.0,3290.0,2,0.4838235294117647
CUS_00363,[已隱蔽],5300.0,3230.0,1,0.6094339622641509
CUS_00484,[已隱蔽],5550.0,3210.0,2,0.5783783783783784
CUS_00635,[已隱蔽],5500.0,3200.0,1,0.5818181818181818
CUS_00623,[已隱蔽],5500.0,3200.0,1,0.5818181818181818
CUS_00476,[已隱蔽],11000.0,3190.0,1,0.29
CUS_00579,[已隱蔽],5200.0,3180.0,1,0.6115384615384616
CUS_00223,[已隱蔽],4600.0,3175.0,2,0.6902173913043478
CUS_00263,[已隱蔽],4500.0,3175.0,1,0.7055555555555556
CUS_00714,[已隱蔽],4300.0,3150.0,1,0.7325581395348837
CUS_00670,[已隱蔽],10000.0,3150.0,1,0.315
CUS_00068,[已隱蔽],3700.0,3130.0,1,0.845945945945946
CUS_00648,[已隱蔽],9000.0,3110.0,7,0.34555555555555556
CUS_00037,[已隱蔽],3800.0,3090.0,1,0.8131578947368421
CUS_00204,[已隱蔽],3800.0,3078.0,2,0.81
CUS_00301,[已隱蔽],6200.0,3070.0,2,0.49516129032258066
CUS_00274,[已隱蔽],4100.0,3033.8,1,0.7399512195121951
CUS_00056,[已隱蔽],4262.0,3012.0,1,0.7067104645706241
CUS_00339,[已隱蔽],4200.0,2986.0,1,0.710952380952381
CUS_00638,[已隱蔽],6100.0,2980.0,5,0.4885245901639344
CUS_00131,[已隱蔽],4500.0,2950.0,3,0.6555555555555556
CUS_00668,[已隱蔽],3500.0,2950.0,1,0.8428571428571429
CUS_00631,[已隱蔽],8800.0,2950.0,2,0.3352272727272727
CUS_00607,[已隱蔽],6650.0,2945.0,2,0.44285714285714284
