cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00521,18100.0,2023-05-20,1,0.0,,18100.0,1057,[已隱蔽],,31.0
CUS_00517,18000.0,2023-03-15,1,0.0,,18000.0,1123,[已隱蔽],,31.0
CUS_00678,18000.0,2024-12-02,6,0.0,,18000.0,495,[已隱蔽],,31.0
CUS_00121,17800.0,2021-10-29,2,0.0,,17800.0,1625,[已隱蔽],,31.0
CUS_00105,17600.0,2022-09-23,1,0.0,,17600.0,1296,[已隱蔽],,31.0
CUS_00624,17500.0,2021-04-27,3,0.0,,17500.0,1810,[已隱蔽],,31.0
CUS_00344,17000.0,2024-01-17,1,0.0,,17000.0,815,[已隱蔽],,31.0
CUS_00666,16999.0,2021-03-23,1,0.0,,16999.0,1845,[已隱蔽],,31.0
CUS_00215,16500.0,2024-02-09,1,0.0,,16500.0,792,[已隱蔽],,31.0
CUS_00372,16500.0,2022-06-16,1,0.0,,16500.0,1395,[已隱蔽],,31.0
CUS_00009,16450.0,2024-05-18,7,0.0,,16450.0,693,[已隱蔽],,31.0
CUS_00355,16350.0,2024-11-16,5,0.0,,16350.0,511,[已隱蔽],,31.0
CUS_00712,16000.0,2021-06-11,2,0.0,,16000.0,1765,[已隱蔽],,31.0
CUS_00404,16000.0,2022-11-02,1,0.0,,16000.0,1256,[已隱蔽],,31.0
CUS_00183,15700.0,2024-11-11,3,0.0,,15700.0,516,[已隱蔽],,31.0
CUS_00292,15700.0,2022-05-19,1,0.0,,15700.0,1423,[已隱蔽],,31.0
CUS_00679,15700.0,2023-06-15,1,0.0,,15700.0,1031,[已隱蔽],,31.0
CUS_00098,15500.0,2023-10-02,1,0.0,,15500.0,922,[已隱蔽],,31.0
CUS_00576,15450.0,2024-11-14,4,0.0,,15450.0,513,[已隱蔽],,31.0
CUS_00591,15000.0,2023-04-15,1,0.0,,15000.0,1092,[已隱蔽],,31.0
CUS_00356,15000.0,2022-09-21,2,0.0,,15000.0,1298,[已隱蔽],,31.0
CUS_00451,14950.0,2022-04-06,2,0.0,,14950.0,1466,[已隱蔽],,31.0
CUS_00216,14700.0,2023-10-14,1,0.0,,14700.0,910,[已隱蔽],,31.0
