cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00433,7050.0,2024-09-03,2,0.0,,7050.0,585,[已隱蔽],,31.0
CUS_00609,7000.0,2025-01-21,2,0.0,,7000.0,445,[已隱蔽],,31.0
CUS_00313,7000.0,2021-03-13,1,0.0,,7000.0,1855,[已隱蔽],,31.0
CUS_00600,7000.0,2022-09-22,1,0.0,,7000.0,1297,[已隱蔽],,31.0
CUS_00062,7000.0,2024-08-10,1,0.0,,7000.0,609,[已隱蔽],,31.0
CUS_00190,7000.0,2023-12-23,1,0.0,,7000.0,840,[已隱蔽],,31.0
CUS_00229,7000.0,2024-11-16,2,0.0,,7000.0,511,[已隱蔽],,31.0
CUS_00614,6900.0,2021-02-03,1,0.0,,6900.0,1893,[已隱蔽],,31.0
CUS_00015,6850.0,2020-12-29,1,0.0,,6850.0,1929,[已隱蔽],,31.0
CUS_00110,6820.0,2025-01-22,3,0.0,,6820.0,444,[已隱蔽],,31.0
CUS_00248,6800.0,2022-01-12,1,0.0,,6800.0,1550,[已隱蔽],,31.0
CUS_00149,6800.0,2021-06-25,2,0.0,,6800.0,1751,[已隱蔽],,31.0
CUS_00463,6800.0,2020-10-24,1,0.0,,6800.0,1995,[已隱蔽],,31.0
CUS_00267,6700.0,2023-09-26,1,0.0,,6700.0,928,[已隱蔽],,31.0
CUS_00235,6667.0,2024-03-07,1,0.0,,6667.0,765,[已隱蔽],,31.0
CUS_00607,6650.0,2024-12-23,2,0.0,,6650.0,474,[已隱蔽],,31.0
CUS_00460,6500.0,2022-06-17,2,0.0,,6500.0,1394,[已隱蔽],,31.0
CUS_00726,6500.0,2020-10-31,1,0.0,,6500.0,1988,[已隱蔽],,31.0
CUS_00580,6500.0,2022-10-27,1,0.0,,6500.0,1262,[已隱蔽],,31.0
CUS_00224,6500.0,2024-07-18,1,0.0,,6500.0,632,[已隱蔽],,31.0
CUS_00299,6500.0,2023-03-31,2,0.0,,6500.0,1107,[已隱蔽],,31.0
CUS_00087,6400.0,2022-05-04,1,0.0,,6400.0,1438,[已隱蔽],,31.0
CUS_00540,6400.0,2024-07-06,1,0.0,,6400.0,644,[已隱蔽],,31.0
CUS_00077,6300.0,2023-09-22,4,0.0,,6300.0,932,[已隱蔽],,31.0
CUS_00642,6300.0,2022-04-16,2,0.0,,6300.0,1456,[已隱蔽],,31.0
CUS_00301,6200.0,2024-01-16,2,0.0,,6200.0,816,[已隱蔽],,31.0
CUS_00350,6150.0,2022-10-11,1,0.0,,6150.0,1278,[已隱蔽],,31.0
CUS_00379,6050.0,2022-10-18,2,0.0,,6050.0,1271,[已隱蔽],,31.0
CUS_00406,6000.0,2025-01-21,1,0.0,,6000.0,445,[已隱蔽],,31.0
CUS_00423,6000.0,2023-03-29,1,0.0,,6000.0,1109,[已隱蔽],,31.0
CUS_00117,6000.0,2021-04-15,1,0.0,,6000.0,1822,[已隱蔽],,31.0
CUS_00438,6000.0,2022-08-05,1,0.0,,6000.0,1345,[已隱蔽],,31.0
CUS_00205,6000.0,2024-06-11,3,0.0,,6000.0,669,[已隱蔽],,31.0
CUS_00318,6000.0,2024-10-09,1,0.0,,6000.0,549,[已隱蔽],,31.0
CUS_00613,5900.0,2022-03-19,1,0.0,,5900.0,1484,[已隱蔽],,31.0
CUS_00287,5900.0,2023-07-25,2,0.0,,5900.0,991,[已隱蔽],,31.0
CUS_00265,5850.0,2025-01-23,3,0.0,,5850.0,443,[已隱蔽],,31.0
CUS_00702,5850.0,2022-04-20,1,0.0,,5850.0,1452,[已隱蔽],,31.0
CUS_00347,5800.0,2020-12-09,2,0.0,,5800.0,1949,[已隱蔽],,31.0
CUS_00390,5800.0,2024-02-08,1,0.0,,5800.0,793,[已隱蔽],,31.0
CUS_00455,5760.0,2025-02-19,1,0.0,,5760.0,416,[已隱蔽],,31.0
CUS_00137,5750.0,2024-03-22,4,0.0,,5750.0,750,[已隱蔽],,31.0
CUS_00124,5749.0,2023-08-18,1,0.0,,5749.0,967,[已隱蔽],,31.0
CUS_00088,5675.0,2023-01-20,1,0.0,,5675.0,1177,[已隱蔽],,31.0
CUS_00701,5600.0,2023-02-23,1,0.0,,5600.0,1143,[已隱蔽],,31.0
CUS_00484,5550.0,2023-05-30,2,0.0,,5550.0,1047,[已隱蔽],,31.0
CUS_00623,5500.0,2023-08-18,1,0.0,,5500.0,967,[已隱蔽],,31.0
CUS_00279,5500.0,2023-01-31,1,0.0,,5500.0,1166,[已隱蔽],,31.0
CUS_00280,5500.0,2023-06-09,1,0.0,,5500.0,1037,[已隱蔽],,31.0
CUS_00662,5500.0,2020-12-26,1,0.0,,5500.0,1932,[已隱蔽],,31.0
CUS_00457,5500.0,2022-08-02,1,0.0,,5500.0,1348,[已隱蔽],,31.0
CUS_00562,5500.0,2023-10-17,1,0.0,,5500.0,907,[已隱蔽],,31.0
CUS_00346,5500.0,2021-07-17,1,0.0,,5500.0,1729,[已隱蔽],,31.0
