wno,wdate,odate,wfacno,sltax,invnoam,tax_a,slamt2_a,slamt3_a,facno,setday,mark,stockno,note1,toacc
[車牌]3661      ,2022-05-24 00:00:00,2022-05-24 00:00:00,ZF        ,外加  ,4970.0,0.05,249.0,5219.0,FAC_00066,202205.0,            ,GF ,,
[車牌]1008      ,2022-06-01 00:00:00,2022-06-01 00:00:00,MFFT1C    ,外加  ,5040.0,0.05,252.0,5292.0,FAC_00040,202206.0,            ,GF ,,
[車牌]3253      ,2022-05-12 00:00:00,2022-05-12 00:00:00,X2T       ,外加  ,7630.0,0.05,382.0,8012.0,          ,,            ,GF ,,
ZP[電話]      ,2022-06-15 00:00:00,2022-06-15 00:00:00,JG        ,外加  ,5143.0,0.05,257.0,5400.0,FAC_00036,202206.0,            ,GF ,,
ZP4[電話]      ,2022-06-16 00:00:00,2022-06-16 00:00:00,CMFUG     ,外加  ,8395.0,0.05,420.0,8815.0,FAC_00019,202206.0,            ,GF ,,
[車牌]3701      ,2022-06-22 00:00:00,2022-06-22 00:00:00,ZF        ,外加  ,17660.0,0.05,883.0,18543.0,FAC_00066,202206.0,            ,GF ,,
[車牌]6744      ,2022-06-28 00:00:00,2022-06-28 00:00:00,2UFT1C    ,外加  ,1142.0,0.05,57.0,1199.0,FAC_00010,202207.0,            ,GF ,,
ZP4[電話]      ,2022-06-21 00:00:00,2022-07-21 00:00:00,CMFUG     ,外加  ,6320.0,0.05,316.0,6636.0,FAC_00019,202206.0,            ,GF ,,
[車牌]6511      ,2022-07-05 00:00:00,2022-07-05 00:00:00,MFFT1C    ,外加  ,970.0,0.05,49.0,1019.0,FAC_00040,202207.0,            ,GF ,,
BS[電話]      ,2022-07-15 00:00:00,2022-07-15 00:00:00,JG        ,外加  ,0.0,0.05,0.0,0.0,FAC_00036,202207.0,            ,GF ,,
[車牌]3508      ,2022-07-20 00:00:00,2022-07-20 00:00:00,ZF        ,外加  ,11930.0,0.05,597.0,12527.0,FAC_00066,202207.0,            ,GF ,,
[車牌]4026      ,2022-07-28 00:00:00,2029-03-28 00:00:00,FMGUUVEN  ,外加  ,0.0,0.05,0.0,0.0,FAC_00031,202207.0,            ,GF ,,
